price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 1,70,00,000 (Negotiable)
(1 crore 70 lakh)",1 KATTHA,,,5,1,1,3,2,,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04306,5 YEARS AGO,1999,SEMI FURNISHED,,
,0-,,,,,,,,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10662,1 MONTH AGO,23,,,
,0-4-0-0 TO 0-14-0-0,,,,,,,,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05690,4 YEARS AGO,4464,,,
"Rs. 28,00,000 (Negotiable)
(Twenty eight lakh )",0-3-0-2,,,,,,,,EAST-SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10576,2 WEEKS AGO,870,,,
"Rs. 14,50,000
(Fourteen lakh fifty thousand )",3-2-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10710,1 MONTH AGO,16,,,
"Rs. 1,30,00,000 (Negotiable)
(One crore thirty lakh )",0-3-2-0,,,4,1,1,1,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10527,3 MONTHS AGO,70,NOT FURNISHED,,
"Rs. 60 (Negotiable)
(Rs. 60 - Rs. 120 per square feet)",3244 SQUARE FEET,,,,,,,4,SOUTH,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB07948,2 YEARS AGO,1881,NOT FURNISHED,,
"Rs. 6,50,00,000 (Negotiable)
(6)",0-6-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10268,5 MONTHS AGO,103,NOT FURNISHED,,
"Rs. 30,00,000 (Negotiable)
(Thirty lakh )",0-,,,,,,,,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10172,6 MONTHS AGO,34,NOT FURNISHED,,
"Rs. 15,50,000 (Negotiable)
(15.5 lakh per aana)",0-8-0-0,,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB03060,7 YEARS AGO,2104,,,
"Rs. 30,00,000 / month (Negotiable)
(Thirty lakh per lakh)",0-12-0-0,,,,,,,,NORTH-WEST,LAND (RESIDENTIAL),NONE,GB10087,7 MONTHS AGO,79,,,
"Rs. 1,40,00,000
(One crore forty lakh )",0-14-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10743,4 WEEKS AGO,82,,,
"Rs. 1,35,00,000 (Negotiable)
(One crore thirty five lakh )",0-3-0-0,0-3-0-0,,3,1,1,2,1,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10226,5 MONTHS AGO,125,NOT FURNISHED,,
"Rs. 1,42,00,000 (Negotiable)
(1 crore 42 lakh)",0-3-0-0,,,5,,1,2,2.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05716,5 YEARS AGO,3524,SEMI FURNISHED,,
"Rs. 16,00,000 (Negotiable)
(Sixteen lakh per aana)",0-10-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10059,7 MONTHS AGO,1179,,,
"Rs. 21,50,000 (Negotiable)
(Twenty one lakh fifty thousand per aana)",0-4-2-3,,,,,,,,SOUTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB06251,4 YEARS AGO,4756,,,
"Rs. 30,00,000 (Negotiable)
(Thirty Lakhs per anna)",0-7-3-0,,,,,,,,WEST,LAND (RESIDENTIAL),NONE,GB05215,5 YEARS AGO,4189,,,
"Rs. 40,00,000 (Negotiable)
(Forty lakh )",0-10-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB01982,2 YEARS AGO,3178,,,
"Rs. 80,00,000 (Negotiable)
(Eighty lakh )",1-2-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB10499,3 MONTHS AGO,887,,,
"Rs. 3,20,000 (Negotiable)
(Three lakh twenty thousand per month)",3100 SQUARE FEET,,,,,,,,NORTH-EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB09775,10 MONTHS AGO,738,NOT FURNISHED,,
"Rs. 55,00,000 (Negotiable)
(Fifty five lakh per aana)",0-16-0-0,,,,,,,,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10081,7 MONTHS AGO,95,,,
"Rs. 3,10,00,000 (Negotiable)
(Three crore ten lakh )",,1100 SQUARE FEET,,12,6,6,,6,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10212,5 MONTHS AGO,167,NOT FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(3 Crore 50 Lakh)",0-13-0-0,,,8,2,2,7,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB01149,2 YEARS AGO,3168,FULLY FURNISHED,,
"Rs. 2,90,00,000 (Negotiable)
(Two crore ninety lakh )",0-8-0-0,,,2,1,1,2,1,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03010,2 YEARS AGO,2516,SEMI FURNISHED,,
"Rs. 8,00,000 (Negotiable)
(8 lakh per anna)",0-12-0-0,,,,,,,,SOUTH-EAST,SCHOOL (RESIDENTIAL),PILLAR SYSTEM,GB02977,2 YEARS AGO,2937,NOT FURNISHED,,
"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",0-8-0-0,,,,,,14,7,WEST,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07650,3 YEARS AGO,1724,NOT FURNISHED,1426 SQUARE FEET,
,0-3-2-0,0-3-0-0,,7,2,2,,3,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10270,5 MONTHS AGO,110,SEMI FURNISHED,,
"Rs. 2,75,00,000 (Negotiable)
(Two crore seventy five lakh )",0-4-0-0,,,10,,2,4,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02493,2 YEARS AGO,5439,NOT FURNISHED,,
"Rs. 5,50,00,000 (Negotiable)
(Five crore fifty lakh per aana)",155 SQUARE METER,123 SQUARE METER,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10393,4 MONTHS AGO,749,NOT FURNISHED,,
"Rs. 3,60,00,000 (Negotiable)
(3.60 cord )",0-,0-4 AANA-0-0,,4,2,2,,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10318,5 MONTHS AGO,48,NOT FURNISHED,,
"Rs. 47,50,000 (Negotiable)
(47.5 lakh Anna)",0-3.5 ANNA-0-0,,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB10319,5 MONTHS AGO,79,,,
"Rs. 60,000 / month (Negotiable)
(Sixty thousand )",0-5-0-0,,,6,2,2,3,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10589,2 MONTHS AGO,647,NOT FURNISHED,,
"Rs. 49,65,000 (Negotiable)
(Forty nine lakh sixty five thousand)",1507 SQUARE FEET,,,,,,2,5,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB07658,3 YEARS AGO,1667,FULLY FURNISHED,1507 SQUARE FEET,
"Rs. 4,80,000 (Negotiable)
(Four lakh eighty thousand )",11 DHUR,,,,,,,,NORTH,LAND (RESIDENTIAL),NONE,GB09987,8 MONTHS AGO,73,,,
"Rs. 1,35,00,000 (Negotiable)
(One crore thirty five lakh )",0-2-3-1,,,5,1,1,3,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06969,4 YEARS AGO,4107,SEMI FURNISHED,,
"Rs. 5,00,00,000 (Negotiable)
(Five crore )",0-6-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10777,2 WEEKS AGO,18,,,
"Rs. 2,80,00,000 (Negotiable)
(Two crore eighty lakh )",0-8-2-2,,,6,1,1,4,2.5,SOUTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05407,2 YEARS AGO,5120,SEMI FURNISHED,,
"Rs. 90,00,000 (Negotiable)
(Ninety lakh )",2800 SQUARE FEET,1800 SQUARE FEET,,,,,2,,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10442,4 MONTHS AGO,379,NOT FURNISHED,,
,3 KATTHA,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10650,1 MONTH AGO,43,,,
"Rs. 4,05,00,000 (Negotiable)
(Four crore five lakh )",0-5-0-0,,,5,1,1,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10018,7 MONTHS AGO,94,NOT FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(Two crore)",0-4-2-0,4500 SQUARE FEET,,8,1,3,3,3,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05356,4 YEARS AGO,4541,SEMI FURNISHED,,
"Rs. 41,00,000 (Negotiable)
(Forty one lakh )",0-,,,,,,,,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10826,12 HOURS AGO,8,NOT FURNISHED,,
"Rs. 1,00,00,000 (Negotiable)
(One crore )",1 KATTHA,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB09997,8 MONTHS AGO,56,,,
"Rs. 7,50,00,000
(Seven crore fifty lakh )",0-6-1-0,,,5,1,1,,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10714,1 MONTH AGO,79,SEMI FURNISHED,,
"Rs. 70,50,000 (Negotiable)
(Seventy lakh fifty thousand )",0-3-1-3,,,,,,,,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB10584,2 MONTHS AGO,845,,,
"Rs. 55,00,000 (Negotiable)
(55 lakh per aana)",0-17-0-0,,,,,,,,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04850,5 YEARS AGO,7263,NOT FURNISHED,,
"Rs. 3,95,00,000 (Negotiable)
(4)",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10269,5 MONTHS AGO,48,NOT FURNISHED,,
"Rs. 3,75,00,000 (Negotiable)
(Three crore seventy five lakh )",0-4-2-3,,,6,2,2,,3,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10166,6 MONTHS AGO,97,SEMI FURNISHED,,
"Rs. 5,00,000 (Negotiable)
(Five lakh )",1-4-0-0,4875 SQUARE FEET,,4,5,1,5,3,NORTH-EAST,BUNGALOW (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10446,4 MONTHS AGO,1056,SEMI FURNISHED,,
"Rs. 2,50,000 (Negotiable)
(Two lakh fifty thousand per dhur)",10 DHUR,,,,,,,,NORTH-EAST-SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10694,3 DAYS AGO,496,,,
"Rs. 30,00,000 (Negotiable)
(30 lakh)",8 DHUR,,,,,,,,NORTH,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04409,4 YEARS AGO,2794,,,
"Rs. 56,00,000 (Negotiable)
(Fifty six lakh )",3-9-1-2,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10775,2 WEEKS AGO,9,,,
"Rs. 12,00,000 (Negotiable)
(Twelve lakh )",0-4-2-0,,,,,,,,EAST-SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10509,3 MONTHS AGO,473,,,
"Rs. 2,65,00,000 (Negotiable)
(Two crore sixty five lakh )",0-4-0-0,0-4-0-0,,5,3,3,,3,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10531,3 MONTHS AGO,94,,,
"Rs. 38,000 (Negotiable)
(Thirty eight thousand )",685 SQUARE FEET,,,3,,,1,,NORTH,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB09271,1 YEAR AGO,823,NOT FURNISHED,,
"Rs. 1,90,00,000 (Negotiable)
(One crore ninety lakh)",0-3-0-0,2100 SQUARE FEET,,6,3,3,3,3,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07574,3 YEARS AGO,7029,NOT FURNISHED,,
"Rs. 2,20,00,000 (Negotiable)
(2 crore 20 lakh)",0-3-1-1,2200 SQUARE FEET,,6,2,2,4,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04261,5 YEARS AGO,18757,SEMI FURNISHED,,
,0-5-0-0,,,,,,,4,SOUTH-WEST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB03034,4 YEARS AGO,5992,SEMI FURNISHED,,
"Rs. 12,00,000
(Twelve lakh )",,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10649,1 MONTH AGO,31,,,
"Rs. 2,35,00,000 (Negotiable)
(3 aana 2 dam)",0-3-0-2,,,5,1,2,4,,SOUTH,HOUSE (RESIDENTIAL),NONE,GB10144,6 MONTHS AGO,178,NOT FURNISHED,,
"Rs. 15,00,000 (Negotiable)
(15 lakh per anna)",0-32-0-0,,,,,,,,NORTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05390,5 YEARS AGO,4643,,,
"Rs. 75,00,000 (Negotiable)
(Seventy five lakh per aana)",0-4-0-0,,,,,,,,NORTH-WEST-SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10688,3 DAYS AGO,399,,,
"Rs. 6,00,000 (Negotiable)
(Six lakh )",200 SQUARE FEET,,,,,,,,NONE,SHUTTER/S (COMMERCIAL),PILLAR SYSTEM,GB10084,2 MONTHS AGO,406,NOT FURNISHED,,
"Rs. 1,85,00,000 (Negotiable)
(One crore eighty five lakh )",0-4-2-0,,,2,1,1,1,1,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10490,1 MONTH AGO,1943,NOT FURNISHED,,
"Rs. 2,20,00,000 (Negotiable)
(2 crore 20 lakh)",0-4-3-3,,,5,1,1,4,2.5,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05063,2 YEARS AGO,6168,SEMI FURNISHED,,
"Rs. 15,00,000 (Negotiable)
(Fifteen lakh per aana)",0-4-0-0,,,,,,,,NORTH-WEST,LAND (RESIDENTIAL),NONE,GB10692,3 DAYS AGO,602,,,
"Rs. 9,25,00,000 (Negotiable)
(Nine crore twenty five lakh )",0-2-0-3,0-2-0-3,,,,,,7,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10099,7 MONTHS AGO,129,NOT FURNISHED,,
"Rs. 4,00,00,000 (Negotiable)
(Four crore )",25-0-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10388,4 MONTHS AGO,52,,,
"Rs. 150 (Negotiable)
(One hundred fifty per sq. ft)",800 SQUARE FEET,,,,,,,,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB10814,7 HOURS AGO,64,NOT FURNISHED,,
"Rs. 20,00,00,000 (Negotiable)
(20 crores)",102 HAATH,,,,,,,,NORTH-EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04495,6 YEARS AGO,1467,SEMI FURNISHED,,
"Rs. 18,00,000 (Negotiable)
(18 lakh per aana)",0-25-0-0,,,,,,,,SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB05353,5 YEARS AGO,10437,,,
"Rs. 1,45,00,000 (Negotiable)
(1 crore 45 lakh)",0-2-3-2,,,4,2,2,3,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05120,3 YEARS AGO,7044,SEMI FURNISHED,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh)",0-5-1-0,0-5-0-0,,4,2,2,2,2.5,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02775,2 YEARS AGO,2029,SEMI FURNISHED,,
"Rs. 3,60,00,000 (Negotiable)
(Three Crore Sixty Lakh )",0-6-2-0,1350 SQUARE FEET,,6,3,3,7,,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06324,4 YEARS AGO,3207,SEMI FURNISHED,,
"Rs. 1,85,000 / month (Negotiable)
(One lakh eighty five thousand )",0-,,,4,1,1,,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10220,5 MONTHS AGO,74,FULLY FURNISHED,,
"Rs. 2,95,00,000 (Negotiable)
(Two crore ninety five lakh )",0-3-1-0,,,8,4,3,4,3.5,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08471,2 YEARS AGO,8113,NOT FURNISHED,,
"Rs. 16,50,000 (Negotiable)
(Sixteen lakh fifty thousand )",0-,,,14,,1,3,,NONE,HOSTEL (RESIDENTIAL),PILLAR SYSTEM,GB10762,2 WEEKS AGO,426,FULLY FURNISHED,,
"Rs. 100 (Negotiable)
(One hundred per square feet )",4000 SQUARE FEET,,,,,,,5,EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB09024,1 YEAR AGO,2270,NOT FURNISHED,3200 SQUARE FEET,
,0-3-0-0,,,,,,,,NORTH-EAST-SOUTH,LAND (RESIDENTIAL),NONE,GB10693,2 DAYS AGO,832,,,
"Rs. 2,25,00,000 (Negotiable)
(Two crore twenty five lakh )",0-5-2-0,0-3-0-0,,5,1,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04778,2 YEARS AGO,25240,SEMI FURNISHED,,
,0-17-0-0,,,11,2,2,5,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03682,5 YEARS AGO,3894,NOT FURNISHED,,
"Rs. 24,000 / month (Negotiable)
(Twenty four thousand per month)",0-5-1-0,,,2,1,1,2,3.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07266,1 YEAR AGO,7762,SEMI FURNISHED,,
"Rs. 1,62,00,000 (Negotiable)
(One crore sixty two lakh )",0-3-0-0,0-3-0-0,,9,2,2,,3.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10262,5 MONTHS AGO,113,SEMI FURNISHED,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-4-1-2,1050 SQUARE FEET,,11,2,3,4,3.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08178,2 YEARS AGO,6630,NOT FURNISHED,,
"Rs. 7,25,00,000 (Negotiable)
(Seven crore twenty five lakh )",0-7-0-0,0-5-0-0,,9,4,4,6,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10310,5 MONTHS AGO,1430,SEMI FURNISHED,,
"Rs. 65,00,000 (Negotiable)
(Sixty five lakh )",,,,7,4,4,7,4,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10162,5 MONTHS AGO,455,FULLY FURNISHED,,
"Rs. 3,90,00,000 (Negotiable)
(Three crore ninety lakh )",0-5-0-2,4800 SQUARE FEET,,9,4,4,5,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03481,3 YEARS AGO,2280,SEMI FURNISHED,,
"Rs. 2,70,00,000 (Negotiable)
(Two crore seventy lakh )",0-3-2-3,2879 SQUARE FEET,,6,1,3,3,3.5,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10075,5 MONTHS AGO,4478,NOT FURNISHED,,
"Rs. 2,95,00,000 (Negotiable)
(Two crore ninety five lakh )",0-4-3-0,,,5,3,3,5,,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09718,11 MONTHS AGO,973,NOT FURNISHED,,
"Rs. 2,40,00,000
(Two crore forty lakh ( Fixed))",0-3-2-0,2400 SQUARE FEET,,6,2,2,4,,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09856,3 MONTHS AGO,2725,SEMI FURNISHED,,220 SQUARE FEET
"Rs. 1,50,00,000 (Negotiable)
(One crore fifty lakh )",0-12-3-0,,,15,,2,4,3.5,SOUTH-EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06190,4 YEARS AGO,2055,SEMI FURNISHED,,
"Rs. 5,00,000 / month
(Five lakh )",0-0-0-0,,,,,1,,,SOUTH-WEST,OFFICE SPACE (RESIDENTIAL),NONE,GB10244,5 MONTHS AGO,545,FULLY FURNISHED,2754 SQUARE FEET,
"Rs. 80,000 / month (Negotiable)
(Eighty thousand )",0-10-0-0,1400 SQUARE FEET,,2,1,1,,1,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10385,4 MONTHS AGO,31,NOT FURNISHED,,
,,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10778,2 WEEKS AGO,31,,,
"Rs. 1,70,00,000
(One crore seventy lakh )",0-2-2-2,0-2-2-2,,5,,1,,3,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10507,3 MONTHS AGO,76,NOT FURNISHED,,
"Rs. 6,000 (Negotiable)",0-,,,1,,,,1,SOUTH,HOUSE (RESIDENTIAL),NONE,GB10448,4 MONTHS AGO,40,NOT FURNISHED,,
"Rs. 50,000 / month (Negotiable)
(Fifty thousand )",0-,0-5-2-0,,,,,,,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10060,7 MONTHS AGO,137,NOT FURNISHED,,
"Rs. 42,00,000 (Negotiable)
(Forty two lakh Per anna)",0-6-0-0,,,,,,,,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB06554,4 YEARS AGO,4978,,,
"Rs. 3,50,00,000 (Negotiable)
(5 kattha 13 dhurr)",5 KATTHA,5 KATTHA-0-0-0,,,,,,,NORTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10564,2 MONTHS AGO,17,,,
"Rs. 1,55,00,000 (Negotiable)
(One crore fifty five lakh )",,,,3,1,1,,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10747,4 WEEKS AGO,37,,,
"Rs. 2,20,00,000 (Negotiable)
(Two crore twenty lakh )",0-3-0-0,1883 SQUARE FEET,,4,2,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04311,2 YEARS AGO,26523,SEMI FURNISHED,,
"Rs. 6,00,000 (Negotiable)
(Six lakh per aana)",6-3-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09276,1 YEAR AGO,1782,,,
"Rs. 30,00,000 (Negotiable)
(30 lakh per aana)",0-10-2-0,,,,,,,,SOUTH-EAST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB05704,5 YEARS AGO,4562,,,
"Rs. 63,00,000 (Negotiable)
(Sixty three lakh )",426 SQUARE FEET,,,1,1,1,1,,SOUTH-EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09730,9 MONTHS AGO,1278,NOT FURNISHED,,
"Rs. 65,00,000 (Negotiable)
(Sixty five lakh )",,604 SQUARE FEET,,2,1,1,1,7,SOUTH-WEST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10064,7 MONTHS AGO,196,SEMI FURNISHED,,
,0-5-2-0,,,6,2,1,,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09985,8 MONTHS AGO,219,SEMI FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(Two crore )",1223 SQUARE FEET,,,3,1,1,2,,SOUTH-WEST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09769,10 MONTHS AGO,781,NOT FURNISHED,,
"Rs. 1,75,00,000 (Negotiable)
(One crore seventy five lakh )",0-3-2-0,,,2,1,1,3,2.5,SOUTH,HOUSE (RESIDENTIAL),WALL BEARING,GB10551,1 MONTH AGO,1077,SEMI FURNISHED,,
"Rs. 2,75,00,000 (Negotiable)
(Two crore seventy five lakh )",0-,1368 SQUARE FEET,,3,1,1,,7,NONE,APARTMENT (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10254,5 MONTHS AGO,71,SEMI FURNISHED,,
"Rs. 12,50,000 (Negotiable)
(12 lakh 50 thousand per aana for 32 aana, 15 lakh per aana for pieces land.)",0-32-0-0,,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB05165,5 YEARS AGO,3404,,,
"Rs. 100 (Negotiable)
(One hundred rupees per sq.ft)",0-4-1-0,,,5,,,5,5,NONE,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB06518,2 YEARS AGO,4199,NOT FURNISHED,,990 SQUARE FEET
,0-2-2-3,,,4,2,2,,2.3,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10648,1 MONTH AGO,52,SEMI FURNISHED,,
"Rs. 1,80,00,000 (Negotiable)
(One crore eighty lakh )",0-3-0-0,0-3-0-0,,6,,1,,3,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10506,3 MONTHS AGO,98,NOT FURNISHED,,
"Rs. 42,00,000
(Forty two lakh )",,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10782,2 WEEKS AGO,28,,,
"Rs. 99,00,000 (Negotiable)
(Ninety nine lakh )",0-4-0-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB10793,2 WEEKS AGO,1116,,,
"Rs. 5,00,00,000 (Negotiable)
(5 crore)",2-5-0-0,,,5,1,1,2,2,,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB04023,5 YEARS AGO,5116,FULLY FURNISHED,,
"Rs. 80,00,000 (Negotiable)
(Eighty lakh per aana)",0-20-0-0,,,,,,,,WEST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10631,1 MONTH AGO,1027,,,
"Rs. 45,00,000 (Negotiable)
(Forty five lakh )",0-5-2-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB10246,5 MONTHS AGO,382,,,
"Rs. 2,80,000 (Negotiable)
(Two lakh eighty thousand )",0-,,,,,,,,NONE,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10828,9 HOURS AGO,123,NOT FURNISHED,,
"Rs. 5,00,00,000
(Five crore )",,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10779,2 WEEKS AGO,24,,,
"Rs. 1,45,00,000 (Negotiable)
(One crore forty five lakh )",0-4-0-0,679 SQUARE FEET,,5,3,2,3,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04541,2 YEARS AGO,19586,SEMI FURNISHED,,
"Rs. 4,00,00,000 (Negotiable)
(Four crore )",0-1-0-0,0-1-0-0,,5,2,1,2,4.5,NONE,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10017,7 MONTHS AGO,92,NOT FURNISHED,,
"Rs. 12,00,000 (Negotiable)
(12 lakh per aana)",0-6-0-0,,,,,,,,EAST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB04344,6 YEARS AGO,1845,,,
"Rs. 4,50,000 / month (Negotiable)
(Four lakh fifty thousand )",0-8-0-0,0-4-0-0,,11,4,4,,7,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB09051,9 MONTHS AGO,568,SEMI FURNISHED,,
"Rs. 52,00,000 (Negotiable)
(Fifty two lakh per aana)",0-5-2-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB06905,4 YEARS AGO,5640,,,
